id,title,year,ratings,votes,length,genres,formatted_title,formatted_length
tt0061809,In Cold Blood (1967),1967,8.1,11289,134 mins.,Crime|Drama|History,In Cold Blood,134
tt0265298,Big Fat Liar (2002),2002,5.2,11267,88 mins.,Adventure|Comedy|Family,Big Fat Liar,88
tt0469263,The Astronaut Farmer (2006),2006,6.4,11262,104 mins.,Adventure|Drama,The Astronaut Farmer,104
tt0347246,Ghost in the Shell 2: Innocence (2004),2004,7.6,11247,100 mins.,Animation|Drama|Sci-Fi|Thriller,Ghost in the Shell 2: Innocence,100
tt0856288,Inside (2007),2007,7.0,11231,83 mins.,Horror|Thriller,Inside,83
tt0186894,Bounce (2000),2000,5.6,11225,106 mins.,Drama|Romance,Bounce,106
tt0119237,Gummo (1997),1997,6.0,11218,89 mins.,Drama,Gummo,89
tt0844479,The Collector (2009),2009,6.2,11212,90 mins.,Crime|Horror|Thriller,The Collector,90
tt0046816,The Caine Mutiny (1954),1954,8.0,11202,124 mins.,Drama|Romance|War,The Caine Mutiny,124
tt1226271,The Damned United (2009),2009,7.5,11190,98 mins.,Biography|Comedy|Drama|Sport,The Damned United,98
tt0259393,Lantana (2001),2001,7.4,11172,121 mins.,Drama|Mystery,Lantana,121
tt1242432,I Spit on Your Grave: Unrated (2010),2010,6.3,11167,00 mins.,Crime|Horror|Thriller,I Spit on Your Grave: Unrated,0
tt0078966,The China Syndrome (1979),1979,7.4,11151,122 mins.,Thriller|Drama,The China Syndrome,122
tt0422401,Hatchet (2006),2006,5.7,11149,85 mins.,Comedy|Horror,Hatchet,85
tt0119013,Double Team (1997),1997,4.2,11137,93 mins.,Action|Thriller,Double Team,93
tt0048605,The Seven Year Itch (1955),1955,7.3,11117,105 mins.,Comedy|Romance,The Seven Year Itch,105
tt0120004,The Relic (1997),1997,5.4,11115,110 mins.,Horror|Mystery|Thriller,The Relic,110
tt0838247,After.Life (2009),2009,6.0,11109,104 mins.,Drama|Horror|Mystery|Thriller,After.Life,104
tt0067128,Get Carter (1971),1971,7.6,11103,112 mins.,Crime|Thriller,Get Carter,112
tt0216651,Vampire Hunter D: Bloodlust (2000),2000,7.8,11094,103 mins.,Animation|Adventure|Fantasy|Mystery|Sci-Fi,Vampire Hunter D: Bloodlust,103
tt0119485,Kundun (1997),1997,7.1,11066,134 mins.,Biography|Drama|History|War,Kundun,134
tt0068638,The Getaway (1972),1972,7.5,11047,122 mins.,Action|Crime|Thriller,The Getaway,122
tt0489235,My Name Is Bruce (2007),2007,6.5,11044,86 mins.,Comedy|Horror,My Name Is Bruce,86
tt0095253,The Great Outdoors (1988),1988,6.1,11029,91 mins.,Comedy,The Great Outdoors,91
tt0058586,A Shot in the Dark (1964),1964,7.6,11022,102 mins.,Comedy|Family|Mystery,A Shot in the Dark,102
tt0099763,Henry: Portrait of a Serial Killer (1986),1986,7.2,11017,83 mins.,Biography|Crime|Drama|Horror|Thriller,Henry: Portrait of a Serial Killer,83
tt0109456,Color of Night (1994),1994,4.8,11007,121 mins.,Mystery|Romance|Thriller|Drama,Color of Night,121
tt0464049,The History Boys (2006),2006,6.6,11002,109 mins.,Comedy|Drama,The History Boys,109
tt0373981,Kontroll (2003),2003,7.6,10999,105 mins.,Comedy|Crime|Drama|Romance|Thriller,Kontroll,105
tt0062467,Wait Until Dark (1967),1967,7.9,10989,108 mins.,Crime|Drama|Thriller,Wait Until Dark,108
tt0108071,The Secret Garden (1993),1993,7.2,10980,101 mins.,Drama|Family|Fantasy,The Secret Garden,101
tt0311519,The Man Without a Past (2002),2002,7.6,10965,97 mins.,Comedy|Crime|Drama|Music|Romance|Thriller,The Man Without a Past,97
tt0244970,Someone Like You... (2001),2001,5.8,10956,97 mins.,Comedy|Romance,Someone Like You...,97
tt0100140,Mermaids (1990),1990,6.4,10948,110 mins.,Comedy|Drama|Romance,Mermaids,110
tt0066769,The Andromeda Strain (1971),1971,7.2,10939,131 mins.,Mystery|Sci-Fi|Thriller,The Andromeda Strain,131
tt0144168,Dick (1999),1999,6.1,10930,94 mins.,Comedy,Dick,94
tt0091251,Come and See (1985),1985,8.2,10912,136 mins.,Drama|War,Come and See,136
tt0449061,London (2005),2005,6.5,10902,92 mins.,Drama|Romance,London,92
tt1073105,The Descent: Part 2 (2009),2009,5.9,10880,94 mins.,Adventure|Horror|Thriller,The Descent: Part 2,94
tt0157583,Enigma (2001),2001,6.4,10876,119 mins.,Drama|Mystery|Romance|Thriller|War,Enigma,119
tt0099165,The Bonfire of the Vanities (1990),1990,5.2,10856,125 mins.,Comedy|Drama,The Bonfire of the Vanities,125
tt1014775,Beverly Hills Chihuahua (2008),2008,3.5,11111,91 mins.,Adventure|Comedy|Drama|Family|Romance,Beverly Hills Chihuahua,91
tt0120620,Brokedown Palace (1999),1999,6.2,11105,100 mins.,Drama|Mystery|Thriller,Brokedown Palace,100
tt0377752,Dear Frankie (2004),2004,7.9,11096,105 mins.,Drama|Romance,Dear Frankie,105
tt0398027,Down in the Valley (2005),2005,6.5,11081,114 mins.,Drama|Romance|Thriller,Down in the Valley,114
tt0301976,The United States of Leland (2003),2003,7.1,11063,108 mins.,Crime|Drama|Romance,The United States of Leland,108
tt0361467,Confessions of a Teenage Drama Queen (2004),2004,4.2,11046,89 mins.,Comedy|Family|Music|Romance,Confessions of a Teenage Drama Queen,89
tt0118604,An American Werewolf in Paris (1997),1997,4.9,11041,105 mins.,Horror|Romance|Thriller|Comedy,An American Werewolf in Paris,105
tt0107843,Point of No Return (1993),1993,5.7,11025,109 mins.,Action|Crime|Drama|Romance|Thriller,Point of No Return,109
tt0072856,Death Race 2000 (1975),1975,6.2,11019,84 mins.,Action|Sci-Fi|Sport,Death Race 2000,84
tt0446046,Take the Lead (2006),2006,6.5,11010,118 mins.,Drama|Music,Take the Lead,118
tt0090685,Back to School (1986),1986,6.2,11003,96 mins.,Comedy|Romance|Sport,Back to School,96
tt0114594,Swimming with Sharks (1994),1994,7.1,11001,101 mins.,Comedy|Crime|Drama|Thriller,Swimming with Sharks,101
tt0089560,Mask (1985),1985,7.1,10990,120 mins.,Biography|Drama,Mask,120
tt0097770,Lock Up (1989),1989,5.8,10983,109 mins.,Action|Crime|Thriller,Lock Up,109
